Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Afbeelding,Verzameld op
"AH Protein pudding karamelsmaak,"€1,29",NEE,10.0 g,5.5 g,1.5 g,321.0 kJ (76.0 kcal),https://www.ah.nl/producten/product/wi556292/ah-protein-pudding-karamelsmaak,https://static.ah.nl/dam/product/AHI_4354523130313930323634?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:21",,,,,,,,,
"Mona Vanillepudding met aardbeiensaus,"€2,49",NEE,4.1 g,19.0 g,2.3 g,482.0 kJ (114.0 kcal),https://www.ah.nl/producten/product/wi212537,https://static.ah.nl/dam/product/AHI_71536a6a4c4e424e524d61727444735243636a465967?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:27",,,,,,,,,
"AH Protein pudding chocoladesmaak,"€1,29",NEE,10.0 g,5.5 g,1.5 g,325.0 kJ (77.0 kcal),https://www.ah.nl/producten/product/wi556293/ah-protein-pudding-chocoladesmaak,https://static.ah.nl/dam/product/AHI_4354523130313933383434?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:30",,,,,,,,,
"Mona Pudding vanille met aardbeiensaus duo,"€1,99",NEE,3.9 g,20.1 g,2.1 g,492.0 kJ (117.0 kcal),https://www.ah.nl/producten/product/wi193673,https://static.ah.nl/dam/product/AHI_4354523130303531363631?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:34",,,,,,,,,
"Dr. Oetker Kookpudding frambozensmaak,"€1,29",NEE,3.1 g,17.0 g,1.4 g,393.0 kJ (93.0 kcal),https://www.ah.nl/producten/product/wi171338/dr-oetker-kookpudding-frambozensmaak,https://static.ah.nl/dam/product/AHI_4354523130313731383234?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:37",,,,,,,,,
"Koopmans Griesmeelpudding bitterkoekjes,"€1,29",NEE,3.8 g,16.0 g,1.6 g,401.0 kJ (95.0 kcal),https://www.ah.nl/producten/product/wi505657/koopmans-griesmeelpudding-bitterkoekjes,https://static.ah.nl/dam/product/AHI_6a4249655f453961544b6d477a676658516f73413467?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:41",,,,,,,,,
"Dr. Oetker Kloppudding karamel,"€1,15",NEE,3.2 g,16.0 g,1.5 g,385.0 kJ (91.0 kcal),https://www.ah.nl/producten/product/wi171336/dr-oetker-kloppudding-karamel,https://static.ah.nl/dam/product/AHI_4354523130313734383033?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:45",,,,,,,,,
"Mona Pudding griesmeel rode bessensaus duo,"€1,99",NEE,2.7 g,21.4 g,2.1 g,501.0 kJ (119.0 kcal),https://www.ah.nl/producten/product/wi193675,https://static.ah.nl/dam/product/AHI_4b36574d357a4b4d52533261624a734b395f64794c67?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:48",,,,,,,,,
"Koopmans Griesmeelpudding amandel,"€1,29",NEE,3.9 g,16.0 g,1.6 g,399.0 kJ (94.0 kcal),https://www.ah.nl/producten/product/wi505658/koopmans-griesmeelpudding-amandel,https://static.ah.nl/dam/product/AHI_764e387664454c63524c794c6d6c596b655167384751?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:51",,,,,,,,,
"HiPRO Pudding pistache,"€1,99",NEE,10.0 g,6.2 g,0.8 g,305.0 kJ (72.0 kcal),https://www.ah.nl/producten/product/wi601532/hipro-pudding-pistache,https://static.ah.nl/dam/product/AHI_7173753856344f3954583671475341336f31786e4e67?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:54",,,,,,,,,
"Dr. Oetker Kookpudding rum-rozijnen smaak,"€1,29",NEE,3.1 g,18.0 g,1.4 g,417.0 kJ (98.0 kcal),https://www.ah.nl/producten/product/wi187440/dr-oetker-kookpudding-rum-rozijnen-smaak,https://static.ah.nl/dam/product/AHI_4354523130313731383232?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:29:57",,,,,,,,,
"Melkunie Protein crème brûlée,"€1,79",NEE,10.0 g,7.7 g,1.5 g,308.0 kJ (73.0 kcal),https://www.ah.nl/producten/product/wi595148/melkunie-protein-cre%CC%80me-bru%CC%82le%CC%81e,https://static.ah.nl/dam/product/AHI_64614849586f626651543655336959484d7579596867?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:00",,,,,,,,,
"Lindahls Protein pudding vanillesmaak,"€1,49",NEE,10.3 g,7.2 g,0.2 g,304.0 kJ (72.0 kcal),https://www.ah.nl/producten/product/wi520126/lindahls-protein-pudding-vanillesmaak,https://static.ah.nl/dam/product/AHI_417273314c587a4651642d65776d4833626c53697067?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:03",,,,,,,,,
"Koopmans Griesmeelpudding vanillesmaak,"€1,29",NEE,3.9 g,15.0 g,1.5 g,387.0 kJ (91.0 kcal),https://www.ah.nl/producten/product/wi505656/koopmans-griesmeelpudding-vanillesmaak,https://static.ah.nl/dam/product/AHI_5864745935755f31546b656c717563634152326d5077?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:09",,,,,,,,,
"HiPRO Protein pudding karamel,"€1,99",NEE,10.0 g,6.2 g,0.8 g,319.0 kJ (75.0 kcal),https://www.ah.nl/producten/product/wi556394,https://static.ah.nl/dam/product/AHI_4354523130313534323034?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:15",,,,,,,,,
"HiPRO Protein pudding chocolade hazelnoot,"€1,99",NEE,10.2 g,6.3 g,0.9 g,320.0 kJ (76.0 kcal),https://www.ah.nl/producten/product/wi556395,https://static.ah.nl/dam/product/AHI_4354523130313533373339?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:20",,,,,,,,,
"Melkunie Protein chocolade pudding 3-pack,"€5,37",JA,,,,,https://www.ah.nl/producten/product/wi594677/melkunie-protein-chocolade-pudding-3-pack,https://static.ah.nl/dam/product/AHI_48353665385a6536544a75394f4a536f784c59386c67?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:24",,,,,,,,,
"Freasy Bosvruchten chia pudding,"€4,99",NEE,4.3 g,13.2 g,6.4 g,493.3 kJ (117.9 kcal),https://www.ah.nl/producten/product/wi582334/freasy-bosvruchten-chia-pudding,https://static.ah.nl/dam/product/AHI_785a4d37466c7838547957454e2d6768755f4f773867?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:26",,,,,,,,,
"Melkunie Protein chocolade pudding,""€1,79"",NEE,10.0 g,7.7 g,1.5 g,318.0 kJ (75.0 kcal),https://www.ah.nl/producten/product/wi474603,https://static.ah.nl/dam/product/AHI_70336978476e34515342365163653275503070624941?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:29",,,,,,,,,
"Alpro Protein pudding vanille smaak,""€2,39"",NEE,10.0 g,7.7 g,2.5 g,399.0 kJ (95.0 kcal),https://www.ah.nl/producten/product/wi556305,https://static.ah.nl/dam/product/AHI_52314a796654466a5346537136755f62365761454777?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:32",,,,,,,,,
"Alpro Protein pudding chocolade smaak,""€2,39"",NEE,10.2 g,7.0 g,2.9 g,407.0 kJ (97.0 kcal),https://www.ah.nl/producten/product/wi556306,https://static.ah.nl/dam/product/AHI_4354523130313832353138?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:35",,,,,,,,,
"AH Puddingkruimelvlaai half,""€4,99"",NEE,4.9 g,45.0 g,13.0 g,1339.0 kJ (319.0 kcal),https://www.ah.nl/producten/product/wi194376/ah-puddingkruimelvlaai-half,https://static.ah.nl/dam/product/AHI_4354523130313032343633?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:38",,,,,,,,,
"AH Kristalsuiker,""€0,89"",NEE,0.0 g,100.0 g,0.0 g,1700.0 kJ (400.0 kcal),https://www.ah.nl/producten/product/wi511002/ah-kristalsuiker,https://static.ah.nl/dam/product/AHI_43545239383337393137?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:41",,,,,,,,,
"AH Rinse appelstroop,""€0,89"",NEE,2.0 g,67.0 g,0.2 g,1216.0 kJ (287.0 kcal),https://www.ah.nl/producten/product/wi1593/ah-rinse-appelstroop,https://static.ah.nl/dam/product/AHI_4354523130303939353337?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:44",,,,,,,,,
"AH Tarwebloem,""€0,85"",NEE,11.0 g,72.0 g,1.1 g,1480.0 kJ (349.0 kcal),https://www.ah.nl/producten/product/wi36783/ah-tarwebloem,https://static.ah.nl/dam/product/AHI_335f49554247394f526a367a4f524c546130646d7551?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:47",,,,,,,,,
"Van Gilse Poedersuiker,""€1,05"",NEE,0.0 g,99.0 g,0.0 g,1685.0 kJ (396.0 kcal),https://www.ah.nl/producten/product/wi187619/van-gilse-poedersuiker,https://static.ah.nl/dam/product/AHI_5f44747566764936524f6d69554d614d677757716d41?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:50",,,,,,,,,
"Almhof Chocolade mousse,""€1,59"",JA,5.3 g,24.8 g,6.3 g,750.0 kJ (178.0 kcal),https://www.ah.nl/producten/product/wi238023/almhof-chocolade-mousse,https://static.ah.nl/dam/product/AHI_4579466c416a5a5854676958537463396474784b7741?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:52",,,,,,,,,
"Almhof Yoghurt mousse aardbei,""€1,79"",JA,4.4 g,14.5 g,6.4 g,570.0 kJ (136.0 kcal),https://www.ah.nl/producten/product/wi595149/almhof-yoghurt-mousse-aardbei,https://static.ah.nl/dam/product/AHI_56424d6e2d44645a545461597159724e367431757477?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:30:56",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,2,JA,,,,,https://www.ah.nl/producten/product/wi602151/ah-excellent-romige-mousse-vanillesmaak,,2025-12-15 14:30:59
Zoek binnen Ah.nl | online bestellen | AH.nl,2,JA,,,,,https://www.ah.nl/producten/product/wi602153/ah-excellent-romige-mousse-framboos,,2025-12-15 14:31:02
"AH Excellent Pure chocolade mousse,""€3,99"",NEE,4.3 g,19.0 g,31.0 g,1562.0 kJ (377.0 kcal),https://www.ah.nl/producten/product/wi539790/ah-excellent-pure-chocolade-mousse,https://static.ah.nl/dam/product/AHI_4354523130313935323937?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:05",,,,,,,,,
"Almhof Yoghurt mousse perzik maracuja,""€1,79"",JA,4.5 g,14.9 g,6.6 g,587.0 kJ (140.0 kcal),https://www.ah.nl/producten/product/wi595150/almhof-yoghurt-mousse-perzik-maracuja,https://static.ah.nl/dam/product/AHI_56544a7873794669514c75524c46526c6c6c6a615467?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:09",,,,,,,,,
"AH Excellent Witte chocolade mousse,""€3,99"",NEE,4.1 g,19.0 g,24.0 g,1281.0 kJ (308.0 kcal),https://www.ah.nl/producten/product/wi539789/ah-excellent-witte-chocolade-mousse,https://static.ah.nl/dam/product/AHI_4354523130313838333330?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:16",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,12,JA,,,,,https://www.ah.nl/producten/product/wi551208/arthur-metz-cremant-d-alsace,,2025-12-15 14:31:19
"AH Protein mousse chocoladesmaak,""€1,39"",NEE,10.0 g,5.0 g,1.6 g,322.0 kJ (76.0 kcal),https://www.ah.nl/producten/product/wi556294/ah-protein-mousse-chocoladesmaak,https://static.ah.nl/dam/product/AHI_4354523130313934363831?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:21",,,,,,,,,
"AH Chocolade mousse puur,""€1,69"",NEE,5.2 g,23.0 g,6.6 g,741.0 kJ (177.0 kcal),https://www.ah.nl/producten/product/wi196212/ah-chocolade-mousse-puur,https://static.ah.nl/dam/product/AHI_55546a564a72596a52434b4a37525a4e4338635a3341?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:24",,,,,,,,,
"AH Excellent Mousse chocolate fudge brownie,""€2,49"",NEE,1.7 g,23.0 g,22.0 g,1236.0 kJ (297.0 kcal),https://www.ah.nl/producten/product/wi583337/ah-excellent-mousse-chocolate-fudge-brownie,https://static.ah.nl/dam/product/AHI_4354523130313138373435?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:27",,,,,,,,,
"Villa Rosa Prosecco,""€6,29"",JA,,,,,https://www.ah.nl/producten/product/wi370595/villa-rosa-prosecco,https://static.ah.nl/dam/product/AHI_4354523130313838343033?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:30",,,,,,,,,
"Pommery Champagne Brut Royal,""€43,99"",JA,,,,,https://www.ah.nl/producten/product/wi160572/pommery-champagne-brut-royal,https://static.ah.nl/dam/product/AHI_5f6a6178357343675177473955466e77352d4d495f51?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:32",,,,,,,,,
"Leitz Motiv sparkling white,""€11,49"",JA,,,,,https://www.ah.nl/producten/product/wi510896/leitz-motiv-sparkling-white,https://static.ah.nl/dam/product/AHI_4354523130313935323932?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:35",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,12,JA,,,,,https://www.ah.nl/producten/product/wi599731/hola-mediterraneo-lantarn-brut,,2025-12-15 14:31:38
"Perfetto Aperitivo Italiano 0%,""€3,99"",NEE,0.0 g,14.5 g,0.0 g,252.0 kJ (59.0 kcal),https://www.ah.nl/producten/product/wi603126/perfetto-aperitivo-italiano-0,https://static.ah.nl/dam/product/AHI_654e69454d7353735361364558674c54735548625641?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:41",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,8,JA,,,,,https://www.ah.nl/producten/product/wi385217/barrels-and-drums-sparkling-alcoholvrij,,2025-12-15 14:31:44
"Solatio Vino frizzante prosecco doc,""€3,99"",NEE,0.0 g,1.2 g,0.0 g,261.0 kJ (63.0 kcal),https://www.ah.nl/producten/product/wi365695/solatio-vino-frizzante-prosecco-doc,https://static.ah.nl/dam/product/AHI_43545239383438363531?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:46",,,,,,,,,
"Free Feather Sparkling alcoholvrij,""€4,29"",NEE,0.0 g,6.8 g,0.0 g,123.0 kJ (29.0 kcal),https://www.ah.nl/producten/product/wi479065,https://static.ah.nl/dam/product/AHI_43545239363532393735?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:49",,,,,,,,,
"Codorníu Clasico cava brut,""€7,99"",NEE,,,,,https://www.ah.nl/producten/product/wi171617,https://static.ah.nl/dam/product/AHI_4354523130313932313531?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:53",,,,,,,,,
"Almhof Plantaardig chocolade mousse,""€2,79"",NEE,1.9 g,19.1 g,12.0 g,837.0 kJ (200.0 kcal),https://www.ah.nl/producten/product/wi533095/almhof-plantaardig-chocolade-mousse,https://static.ah.nl/dam/product/AHI_334f716e375659755331757933704c6d636268667441?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:31:57",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,13,JA,,,,,https://www.ah.nl/producten/product/wi154425/ca-marina-prosecco,,2025-12-15 14:32:00
"AH Witte chocolade mousse,""€1,55"",NEE,5.5 g,20.0 g,25.0 g,1363.0 kJ (328.0 kcal),https://www.ah.nl/producten/product/wi556371,https://static.ah.nl/dam/product/AHI_4354523130313837363338?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:03",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,6,JA,,,,,https://www.ah.nl/producten/product/wi588338/studio-line-fix-en-shine-mousse-very-strong,,2025-12-15 14:32:08
"AH Mousse koffie,""€1,55"",NEE,5.5 g,20.0 g,24.0 g,1326.0 kJ (319.0 kcal),https://www.ah.nl/producten/product/wi438731,https://static.ah.nl/dam/product/AHI_43545239393033323439?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:11",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,8,JA,,,,,https://www.ah.nl/producten/product/wi126066/syoss-styling-mousse-curl-control,,2025-12-15 14:32:16
"AH Terra Plantaardig dessert chocolade mousse,""€1,39"",NEE,2.3 g,25.0 g,21.0 g,1260.0 kJ (303.0 kcal),https://www.ah.nl/producten/product/wi515725/ah-terra-plantaardig-dessert-chocolade-mousse,https://static.ah.nl/dam/product/AHI_4354523130313034383038?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:18",,,,,,,,,
"Antonin Rodet Cremant de bourgogne brut,""€11,99"",NEE,,,,,https://www.ah.nl/producten/product/wi194765,https://static.ah.nl/dam/product/AHI_4354523130313833303035?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:21",,,,,,,,,
"Etos Styling mousse mega strong,""€1,89"",NEE,,,,,https://www.ah.nl/producten/product/wi402793/etos-styling-mousse-mega-strong,https://static.ah.nl/dam/product/AHI_43545239373131383835?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:24",,,,,,,,,
"AH Excellent Mousse caramel crunch,""€2,49"",NEE,2.6 g,27.0 g,23.0 g,1355.0 kJ (326.0 kcal),https://www.ah.nl/producten/product/wi583325/ah-excellent-mousse-caramel-crunch,https://static.ah.nl/dam/product/AHI_4354523130313138373436?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:27",,,,,,,,,
"Hola! Sparkling brut alcoholvrij,""€6,99"",NEE,0.0 g,5.5 g,0.0 g,99.0 kJ (23.0 kcal),https://www.ah.nl/producten/product/wi560572,https://static.ah.nl/dam/product/AHI_4354523130313839353935?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:30",,,,,,,,,
"Castel Boglione Asti,""€5,49"",NEE,,,,,https://www.ah.nl/producten/product/wi440891,https://static.ah.nl/dam/product/AHI_4354523130313930303138?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:33",,,,,,,,,
"Faber Sparkling White alcoholvrij,""€5,39"",JA,,,,,https://www.ah.nl/producten/product/wi221927/faber-sparkling-white-alcoholvrij,https://static.ah.nl/dam/product/AHI_6438674e3852517854555768307934486f6e49385751?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:37",,,,,,,,,
"Viverty Sparkling wit alcoholvrij,""€5,29"",NEE,0.0 g,5.5 g,0.0 g,99.0 kJ (24.0 kcal),https://www.ah.nl/producten/product/wi401917,https://static.ah.nl/dam/product/AHI_43545239393630373236?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:40",,,,,,,,,
Zoek binnen Ah.nl | online bestellen | AH.nl,9,JA,,,,,https://www.ah.nl/producten/product/wi494523,,2025-12-15 14:32:43
"Etos Styling mousse curl,""€2,99"",NEE,,,,,https://www.ah.nl/producten/product/wi402794/etos-styling-mousse-curl,https://static.ah.nl/dam/product/AHI_43545239373131383936?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:46",,,,,,,,,
"AH Meal shake chocoladesmaak,""€2,49"",NEE,6.9 g,6.3 g,4.8 g,416.0 kJ (100.0 kcal),https://www.ah.nl/producten/product/wi594107/ah-meal-shake-chocoladesmaak,https://static.ah.nl/dam/product/AHI_78454b4d71425f685174755a4168794c736962776367?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:49",,,,,,,,,
"AH Meal shake vanillesmaak,""€2,49"",NEE,7.0 g,7.1 g,4.9 g,435.0 kJ (104.0 kcal),https://www.ah.nl/producten/product/wi594113/ah-meal-shake-vanillesmaak,https://static.ah.nl/dam/product/AHI_734658555f663375516f43624631506a7553744c4267?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:51",,,,,,,,,
"AH Meal shake aardbeismaak,""€2,49"",NEE,7.0 g,7.5 g,4.8 g,439.0 kJ (105.0 kcal),https://www.ah.nl/producten/product/wi594078/ah-meal-shake-aardbeismaak,https://static.ah.nl/dam/product/AHI_6a596467494f46665338793373647a38424951695777?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:54",,,,,,,,,
"Optimum Nutrition High protein shake vanilla,""€2,99"",NEE,7.6 g,4.0 g,0.1 g,203.0 kJ (48.0 kcal),https://www.ah.nl/producten/product/wi576486/optimum-nutrition-high-protein-shake-vanilla,https://static.ah.nl/dam/product/AHI_6459487176527544546d4b67777a6f79665376737567?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:32:58",,,,,,,,,
"AH Whey protein shake vanillesmaak,""€6,89"",NEE,69.0 g,14.0 g,4.4 g,1579.0 kJ (373.0 kcal),https://www.ah.nl/producten/product/wi556846/ah-whey-protein-shake-vanillesmaak,https://static.ah.nl/dam/product/AHI_3478415131484867527443796e48434b454d637a5641?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:01",,,,,,,,,
"Bol Power shake bosbessen,""€3,99"",NEE,6.1 g,4.8 g,2.8 g,306.0 kJ (73.0 kcal),https://www.ah.nl/producten/product/wi601554/bol-power-shake-bosbessen,https://static.ah.nl/dam/product/AHI_645543747073756653616965735633796d5a58635241?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:04",,,,,,,,,
"Upfront Eiwit milkshake vanille smaak,""€2,29"",NEE,7.7 g,5.4 g,1.5 g,279.0 kJ (66.0 kcal),https://www.ah.nl/producten/product/wi586034/upfront-eiwit-milkshake-vanille-smaak,https://static.ah.nl/dam/product/AHI_4354523130313830323035?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:09",,,,,,,,,
"Melkunie Protein chocolade shake,""€1,69"",NEE,8.1 g,6.3 g,1.2 g,280.0 kJ (73.0 kcal),https://www.ah.nl/producten/product/wi493103,https://static.ah.nl/dam/product/AHI_43545239393537343639?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:12",,,,,,,,,
"Upfront Shaker,""€9,99"",NEE,,,,,https://www.ah.nl/producten/product/wi594286/upfront-shaker,https://static.ah.nl/dam/product/AHI_4354523130323038323233?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:15",,,,,,,,,
"NXT Level Protein shake vanilla flavour,""€2,29"",NEE,7.5 g,3.9 g,0.1 g,202.0 kJ (48.0 kcal),https://www.ah.nl/producten/product/wi570882/nxt-level-protein-shake-vanilla-flavour,https://static.ah.nl/dam/product/AHI_4354523130313439353839?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:18",,,,,,,,,
"Barebells Milkshake strawberry,""€3,09"",NEE,7.3 g,3.8 g,1.4 g,245.0 kJ (58.0 kcal),https://www.ah.nl/producten/product/wi518743/barebells-milkshake-strawberry,https://static.ah.nl/dam/product/AHI_43545239383533343330?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:21",,,,,,,,,
"NXT Level Protein shake ice coffee flavour,""€2,29"",NEE,7.5 g,3.9 g,0.1 g,201.0 kJ (48.0 kcal),https://www.ah.nl/producten/product/wi570881/nxt-level-protein-shake-ice-coffee-flavour,https://static.ah.nl/dam/product/AHI_4354523130313439323339?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:24",,,,,,,,,
"Optimum Nutrition High protein shake vanilla,""€3,99"",NEE,10.0 g,4.0 g,0.2 g,245.0 kJ (58.0 kcal),https://www.ah.nl/producten/product/wi576491/optimum-nutrition-high-protein-shake-vanilla,https://static.ah.nl/dam/product/AHI_4a466158626b696a52314f42486546753351364b6f51?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:27",,,,,,,,,
"Müller Müllermilk milkshake aardbeismaak,""€1,99"",NEE,3.3 g,10.1 g,3.3 g,350.0 kJ (83.0 kcal),https://www.ah.nl/producten/product/wi550193/mu%CC%88ller-mu%CC%88llermilk-milkshake-aardbeismaak,https://static.ah.nl/dam/product/AHI_4354523130323038323937?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:33:30",,,,,,,,,
